Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
4928;Stuttgart (Schnarrenberg);SD_SO;11.07.1989-03:00;11.07.1989-20:00;18;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;01.06.1995-03:00;30.06.1995-20:00;540;;eor;                                                                                                                        
4928;Stuttgart (Schnarrenberg);SD_SO;01.08.1995-03:00;31.08.1995-20:00;558;;eor;                                                                                                                        
4928;Stuttgart (Schnarrenberg);SD_SO;01.04.1997-03:00;30.04.1997-20:00;540;;eor;                                                                                                                        
4928;Stuttgart (Schnarrenberg);SD_SO;01.06.1998-03:00;04.06.1998-06:00;58;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;11.06.1998-12:00;11.06.1998-19:00;8;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;12.06.1998-03:00;12.06.1998-04:00;2;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;08.10.2001-03:00;08.10.2001-20:00;18;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;25.08.2002-03:00;25.08.2002-04:00;2;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;18.03.2004-16:00;18.03.2004-20:00;5;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;03.07.2004-15:00;04.07.2004-04:00;8;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;11.01.2005-19:00;12.01.2005-05:00;5;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;21.08.2005-18:00;22.08.2005-05:00;6;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;10.02.2006-03:00;10.02.2006-06:00;4;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;13.08.2006-03:00;13.08.2006-20:00;18;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;30.03.2008-20:00;30.03.2008-20:00;1;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;17.10.2008-10:00;18.10.2008-05:00;14;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;18.10.2008-07:00;19.10.2008-05:00;17;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;19.10.2008-07:00;20.10.2008-05:00;17;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;20.10.2008-07:00;20.10.2008-13:00;7;;eor;                                                                                                                          
4928;Stuttgart (Schnarrenberg);SD_SO;09.06.2013-06:00;09.06.2013-20:00;15;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;27.02.2014-07:00;27.02.2014-18:00;12;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;12.08.2017-03:00;13.08.2017-20:00;36;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;03.08.2019-11:00;04.08.2019-20:00;28;;eor;                                                                                                                         
4928;Stuttgart (Schnarrenberg);SD_SO;16.06.2023-06:00;19.06.2023-11:00;60;;eor;                                                                                                                         
generiert: 03.04.2024 --  Deutscher Wetterdienst  --                                                                                                                                                    
